q_num,q_statement,A,B,C,D,ans,explain,E
1158,Question: Which IPv4 internet address for Amazon EC2 instances is billed at an hourlyrate?, A dynamic IP address that is requested in excess of the Regional limit for each, An Elastic IP address that is associated with an EC2 instance that is running, An Elastic IP address that is not associated with an EC2 instance that is running, A bring your own IP address(BYOIP) that is assigned to an EC2 instance that is, C,accountrunning,
1159,Question: Which activity is considered out of scope for AWS Support?, Solving problems detected by Amazon EC2 health checks," Answering ""how to"" questions on AWS services and features", Troubleshooting AWS APIs, Tuning database queries, D,,
1160,Question: A company has decided to migrate its production workloads to the AWSCloud.Which actions can help reduce operational costs as part of the migration?(Select TWO.), Reduce overprovisioned instances, Rehost all third-party licenses on AWS, Implement a highly available architecture, Use managed services E. Improve application security, BD,,
1161,Question: A company spends several months upgrading its on-premises infrastructureevery few years. The company wants to reduce infrastructure procurement time bymigrating to the AWS Cloud. What is the main benefit of migrating to the AWS Cloudfor this use case?, AWS will help move the existing hardware to the AWS data centers, The company will have increased agility with on-demand access to IT resources, Enterprise support will be available to help with recurring application installation, The company will experience less downtime with Multi-AZ deployments, C,and setup,
1162,Question: A company recently migrated data from on premises to Amazon Aurora.How does the AWS shared responsibility model apply to this use case?, AWS is responsible for the physical infrastructure on which the company's data," AWS is responsible for installing the database application, updating the operating", The company is responsible for updating the operating system and performing, The company is responsible for the security of the hardware on which the database, B,"resides.The company is responsible for everything else.system, and performing maintenancesoftware maintenanceresides",
1163,Question: Which AWS Trusted Advisor category contains information about highAWS service usage that could restrict the deployment of additional AWS resources?, Security, Fault tolerance, Performance, Service quotas, D,,
1164,"Question: A developer is writing a new application that consists of multiple AWSmicroservices During quality assurance testing, the developer notices runtime errors inseveral areas of the application. Which AWS service should the developer use to helptroubleshoot the errors?", AWS Cloud Trail, AWSX-Ray, Amazon CloudWatch, Amazon Cognito, B,,
1165,Question: A company recently created its first AWS account. Which AWS services willrequire the use of a VPC?(Select TWO.), AmazonS3, Amazon Elastic File System(Amazon EFS), Amazon Cognito, Amazon DynamoDB, DE,, Amazon EC2
1166,Question: Which of the following is an AWS value proposition that describes a user'sability to scale infrastructure based on demand?, Speed of innovation, Resource elasticity, Decoupled architecture, Global deployment, B,,
1167,Question: A company wants to archive its media data as soon as the data is generated.The company needs to store the data for several years Two or three times each year thecompany must access some of the data within 10 minutes of a request. Which AmazonS3solution will meet these requirements MOST cost-effectively?, S3Standard, S3 Glacier with expedited retrievals, S3 Intelligent-Tiering, S3 Glacier Deep Archive, B,,
1168,Questionï¼šA user wants to identify any security group that is allowing unrestrictedincoming SSH traffic.Which AWS service can be used to accomplish this goalï¼Ÿ,Amazon Cognito,AWS Shield,Amazon Macie,AWS Trusted Advisor, D,,
1169,Question: A solutions architect needs to create a cost estimate for running workloadson AWS. The cost estimate must then be exported tor management review. Which AWSservice or feature should be used to accomplish these tasks?, Cost Explorer, Amazon QuickSight, AWS Pricing Calculator, AWS Budgets, B,,
1170,"Question: Which AWS service gives users the ability to find, buy, and immediatelystart using third-party software solutions in their AWS environments?", AWS Config, AWS OpsWorks, AWS Systems Manager, AWS Marketplace, D,,
1171,Question: Which of the following security resources are supplied by AWS?(SelectTWO.), Trusted Advisor checks, Service intrusion metrics, Penetration testing, Educational webinars, AC,, Peer-to-peer file-sharing detection
1172,Question: A company's information security manager is supervising a move to AWSand wants to ensure that AWS best practices are followed. The manager has concernsabout the potential misuse of AWS account root user credentials. Which of thefollowing is an AWS best practice for using the AWS account root user credentials?, Allow only the manager to use the account root user credentials for normal activities, Use the account root user credentials only for Amazon EC2 instances from the AWS, Use the account root user credentials only when they alone must be used to perform, Use the account root user credentials only for the creation of private VPC subnets, C,Free Tiera required function,
1173,Question: A company is building a web application and needs to test the applicationacross different mobile devices and desktop browsers. Which AWS service should thecompany use for this testing?, AWS Amplify, AWS AppSync, Amazon Pinpoint, AWS Device Farm, D,,
1174,Question: Which actions should a company take to avoid failure in an AWS architecturedesign?(Select TWO), Separate Amazon EC2 instances into different Availability Zones., Enable Alexa for Business for business applications, Use Amazon Workspaces to reduce the need for operating system patching, Use AWS Glue to prepare and load failover data E. Enable Amazon S3 CrossRegion Replication, AE,,
1175,Question: Which AWS service or tool provides information about the utilization ofReserved Instances?, AWS Systems Manager, Cost Explorer, AWS Config, Amazon CloudWatch, D,,
1176,"Question: A company has a workload that requires data to be collected, analyzed andstored on premises. The company wants to extend the use of AWS services to run onpremises with access to the company network and the company's VPC. Which AWSservice meets this requirement?", AWS Outposts, AWS Storage Gateway, AWS Direct Connect, AWS Snowball, B,,
1177,Question: Which AWS feature grants temporary access to specific AWS resources?, AWS IAM Access Analyzer, Service control policies(SCPs), Access control lists(ACLs), IAM roles, A,,
1178,Question: A company wants to use AWS storage services that support data lifecyclemanagement to reduce the cost of storing files that are not accessed frequently. WhichAWS services meets these requirements?(Select TWO.), Amazon FSx, Amazon Elastic Block Store(Amazon EBS), Amazon Elastic File System(Amazon EFS), Amazon S3, DE,, AWS Snowball
1179,Questionï¼šA company chooses an Amazon EC2 instance type that fits its usagerequirements.Which principle of the AWS Well-Architected Framework is thecompany followingï¼Ÿ,Proactively monitor costs,Rightsize the infrastructure,Supply resources dynamically.,Decommission unused resources, B,,
